"Date";"Year";"Month";"Month_Name";"Week";"Quarter";"Date_Type"
"2011-01-28";2011;1;"January";4;1;"Regular"
"2011-02-04";2011;2;"February";5;1;"Regular"
"2011-02-11";2011;2;"February";6;1;"Holiday"
"2011-02-18";2011;2;"February";7;1;"Regular"
"2011-02-25";2011;2;"February";8;1;"Regular"
"2011-03-04";2011;3;"March";9;1;"Regular"
"2011-03-11";2011;3;"March";10;1;"Regular"
"2011-03-18";2011;3;"March";11;1;"Regular"
"2011-03-25";2011;3;"March";12;1;"Regular"
"2011-04-01";2011;4;"April";13;2;"Regular"
"2011-04-08";2011;4;"April";14;2;"Regular"
"2011-04-15";2011;4;"April";15;2;"Regular"
"2011-04-22";2011;4;"April";16;2;"Regular"
"2011-04-29";2011;4;"April";17;2;"Regular"
"2011-05-06";2011;5;"May";18;2;"Regular"
"2011-05-13";2011;5;"May";19;2;"Regular"
"2011-05-20";2011;5;"May";20;2;"Regular"
"2011-05-27";2011;5;"May";21;2;"Regular"
"2011-06-03";2011;6;"June";22;2;"Regular"
"2011-06-10";2011;6;"June";23;2;"Regular"
"2011-06-17";2011;6;"June";24;2;"Regular"
"2011-06-24";2011;6;"June";25;2;"Regular"
"2011-07-01";2011;7;"July";26;3;"Regular"
"2011-07-08";2011;7;"July";27;3;"Regular"
"2011-07-15";2011;7;"July";28;3;"Regular"
"2011-07-22";2011;7;"July";29;3;"Regular"
"2011-07-29";2011;7;"July";30;3;"Regular"
"2011-08-05";2011;8;"August";31;3;"Regular"
"2011-08-12";2011;8;"August";32;3;"Regular"
"2011-08-19";2011;8;"August";33;3;"Regular"
"2011-08-26";2011;8;"August";34;3;"Regular"
"2011-09-02";2011;9;"September";35;3;"Regular"
"2011-09-09";2011;9;"September";36;3;"Holiday"
"2011-09-16";2011;9;"September";37;3;"Regular"
"2011-09-23";2011;9;"September";38;3;"Regular"
"2011-09-30";2011;9;"September";39;3;"Regular"
"2011-10-07";2011;10;"October";40;4;"Regular"
"2011-10-14";2011;10;"October";41;4;"Regular"
"2011-10-21";2011;10;"October";42;4;"Regular"
"2011-10-28";2011;10;"October";43;4;"Regular"
"2011-11-04";2011;11;"November";44;4;"Regular"
"2011-11-11";2011;11;"November";45;4;"Regular"
"2011-11-18";2011;11;"November";46;4;"Regular"
"2011-11-25";2011;11;"November";47;4;"Holiday"
"2011-12-02";2011;12;"December";48;4;"Regular"
"2011-12-09";2011;12;"December";49;4;"Regular"
"2011-12-16";2011;12;"December";50;4;"Regular"
"2011-12-23";2011;12;"December";51;4;"Regular"
"2011-12-30";2011;12;"December";52;4;"Holiday"
"2012-01-06";2012;1;"January";1;1;"Regular"
"2012-01-13";2012;1;"January";2;1;"Regular"
"2012-01-20";2012;1;"January";3;1;"Regular"
"2012-01-27";2012;1;"January";4;1;"Regular"
"2012-02-03";2012;2;"February";5;1;"Regular"
"2012-02-10";2012;2;"February";6;1;"Holiday"
"2012-02-17";2012;2;"February";7;1;"Regular"
"2012-02-24";2012;2;"February";8;1;"Regular"
"2012-03-02";2012;3;"March";9;1;"Regular"
"2012-03-09";2012;3;"March";10;1;"Regular"
"2012-03-16";2012;3;"March";11;1;"Regular"
"2012-03-23";2012;3;"March";12;1;"Regular"
"2012-03-30";2012;3;"March";13;1;"Regular"
"2012-04-06";2012;4;"April";14;2;"Regular"
"2012-04-13";2012;4;"April";15;2;"Regular"
"2012-04-20";2012;4;"April";16;2;"Regular"
"2012-04-27";2012;4;"April";17;2;"Regular"
"2012-05-04";2012;5;"May";18;2;"Regular"
"2012-05-11";2012;5;"May";19;2;"Regular"
"2012-05-18";2012;5;"May";20;2;"Regular"
"2012-05-25";2012;5;"May";21;2;"Regular"
"2012-06-01";2012;6;"June";22;2;"Regular"
"2012-06-08";2012;6;"June";23;2;"Regular"
"2012-06-15";2012;6;"June";24;2;"Regular"
"2012-06-22";2012;6;"June";25;2;"Regular"
"2012-06-29";2012;6;"June";26;2;"Regular"
"2012-07-06";2012;7;"July";27;3;"Regular"
"2012-07-13";2012;7;"July";28;3;"Regular"
"2012-07-20";2012;7;"July";29;3;"Regular"
"2012-07-27";2012;7;"July";30;3;"Regular"
"2012-08-03";2012;8;"August";31;3;"Regular"
"2012-08-10";2012;8;"August";32;3;"Regular"
"2012-08-17";2012;8;"August";33;3;"Regular"
"2012-08-24";2012;8;"August";34;3;"Regular"
"2012-08-31";2012;8;"August";35;3;"Regular"
"2012-09-07";2012;9;"September";36;3;"Holiday"
"2012-09-14";2012;9;"September";37;3;"Regular"
"2012-09-21";2012;9;"September";38;3;"Regular"
"2012-09-28";2012;9;"September";39;3;"Regular"
"2012-10-05";2012;10;"October";40;4;"Regular"
"2012-10-12";2012;10;"October";41;4;"Regular"
"2012-10-19";2012;10;"October";42;4;"Regular"
"2012-10-26";2012;10;"October";43;4;"Regular"
